res_group_mapping,MJ_min,MJ_max,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta
default,0.0,0.8,0.01,0.005,0.6,1.0,1.0,0.09243586256393924,0.06930288736464946,0.12014810841647698,0.07764596203514193,0.1784872807903342,0.12440723668248954,0.19764336262190224,-0.5489846174329814
default,0.0,0.8,1.0,5.0,0.0,0.0,1.0,0.12110002152213177,0.1559141784181445,0.13889937842710953,0.1999017014920058,0.34017737703160633,0.30025253335082863,0.14866954737773277,-0.362801968595933
default,0.0,0.8,20.0,30.0,0.5,0.5,0.5,0.09861840374036006,0.1028507139797653,0.1841845164821961,0.2860915596928872,0.3139151616805005,0.26450364005132004,0.20790576943629263,-0.515157765553337
default,0.0,0.8,0.01,0.005,0.8,0.8,1.0,0.08667073806689557,0.05143605392947668,0.11806097775645766,0.044498177573101004,0.18814734710257833,0.1312234781575651,0.1882345345013283,-0.502076491299912
default,0.0,0.8,20.0,30.0,0.0,0.5,0.0,0.08781647923924138,0.051110671662521305,0.19578986036316415,0.28009845813262846,0.25536424521338613,0.19869847721982015,0.28264384280004357,-0.7700893821782192
default,0.0,0.8,40.0,50.0,0.25,1.0,0.0,0.08262173248982292,0.03314364342725178,0.18342970218149024,0.23113388178567293,0.2507231039689148,0.19470590047235387,0.2898144567052275,-0.8177976213220908
default,0.0,0.8,40.0,50.0,0.0,0.75,0.25,0.10672627150577302,0.1157520114386684,0.2035886960640337,0.34496011964885226,0.3054423732309212,0.25723007404718556,0.22122520985383404,-0.5195972177849056
default,0.0,0.8,10.0,10.0,0.0,0.0,0.5,0.12932930716655322,0.16781428083718655,0.17244900925051385,0.296566536986446,0.37634591504255055,0.3390507267364823,0.13513294877981696,-0.17390096033240438
default,0.0,0.8,10.0,5.0,1.0,0.0,1.0,0.08330090177055423,0.06750054152054659,0.12670371187961285,0.08983844086479947,0.33670849931992297,0.3016524517039161,0.17486458735750948,-0.4493728207726557
default,0.0,0.8,5.0,5.0,0.5,0.5,0.5,0.10097462188557907,0.11388659492707531,0.16291563998049285,0.24492322022769258,0.2338965312764535,0.17227756707451963,0.24046517056934513,-0.6569360680061511
default,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.12355864889090788,0.16238529540508365,0.12784324775063227,0.16201714409143383,0.31678848626491773,0.2685298161702626,0.1757161446379753,-0.4737517217343145
default,0.0,0.8,40.0,50.0,0.0,0.75,0.5,0.10740995998986623,0.12089144830777351,0.19768112832199192,0.33313451096370894,0.3098816269414889,0.2658350618756967,0.21127675379793995,-0.49946694323937424
default,0.0,0.8,20.0,30.0,0.75,0.25,0.25,0.08171178197244325,0.058705827649529155,0.16056416654156364,0.18705899479985766,0.3175223965588495,0.27508298082272786,0.22243322918266303,-0.597935910464285
